"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Amon","Near-Surface_Air Temperature","K",,"normally, the temperature should be reported at the 2 meter height","tas","air_temperature",,"K","time: mean",,,,,,"real","longitude latitude time height2m","tas","atmos",,"area: areacella",,
"Amon","Surface Temperature","K","""skin"" temperature (i.e., SST for open ocean)",,"ts","surface_temperature",,"K","time: mean",,,,,,"real","longitude latitude time","ts","atmos",,"area: areacella",,
"Amon","Daily Minimum Near-Surface Air Temperature","K","monthly mean of the daily-minimum near-surface air temperature.","normally, this should be reported at the 2 meter height.","tasmin","air_temperature",,"K","time: minimum within days time: mean over days",,,,,,"real","longitude latitude time height2m","tasmin","atmos",,"area: areacella",,
"Amon","Daily Maximum Near-Surface Air Temperature","K","monthly mean of the daily-maximum near-surface air temperature.","normally, this should be reported at the 2 meter height.","tasmax","air_temperature",,"K","time: maximum within days time: mean over days",,,,,,"real","longitude latitude time height2m","tasmax","atmos",,"area: areacella",,
"Amon","Sea Level Pressure","Pa","not, in general, the same as surface pressure",,"psl","air_pressure_at_sea_level",,"Pa","time: mean",,,,,,"real","longitude latitude time","psl","atmos",,"area: areacella",,
"Amon","Surface Air Pressure","Pa","not, in general, the same as mean sea-level pressure",,"ps","surface_air_pressure",,"Pa","time: mean",,,,,,"real","longitude latitude time","ps","atmos",,"area: areacella",,
"Amon","Eastward Near-Surface Wind","m s-1",,"normally, the the wind component should be reported at the 10 meter height","uas","eastward_wind",,"m s-1","time: mean",,,,,,"real","longitude latitude time height10m","uas","atmos",,,,
"Amon","Northward Near-Surface Wind","m s-1",,"normally, the the wind component should be reported at the 10 meter height","vas","northward_wind",,"m s-1","time: mean",,,,,,"real","longitude latitude time height10m","vas","atmos",,,,
"Amon","Near-Surface Wind Speed","m s-1","This is the mean of the speed, not the speed computed from the mean u and v components of wind","normally, the the wind  should be reported at the 10 meter height","sfcWind","wind_speed",,"m s-1","time: mean",,,,,,"real","longitude latitude time height10m","sfcWind","atmos",,,,
"Amon","Near-Surface Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height","hurs","relative_humidity",,"%","time: mean",,,,,,"real","longitude latitude time height2m","hurs","atmos",,"area: areacella",,
